Participant,Round,Strategy,MathLevel,StageNumber,#Digits,#CarriesNum,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Count,Correct #
MP22,2,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,5,4
MP22,2,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,5,5
MP22,2,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,3,3
MP22,2,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,2,2
MP22,2,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1,0
MP23,1,UTH,1,1,2&1,0,0,0,2,2,0,2,2,20,20
MP23,1,UTH,2,2,2&1,1,1,1,3,4,2,6,8,13,13
MP23,1,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,7,5
MP23,1,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,5,5
MP23,1,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,4,4
MP23,1,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,6,5
MP23,1,UTH,7,3,2&2,1,1,2,3,5,6,12,18,5,5
MP23,1,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,6,5
MP23,1,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,5,5
MP23,1,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,5,5
MP23,1,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,6,6
MP23,1,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,4,3
MP23,1,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,2,1
MP23,1,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1,1
MP24,2,UTH,1,1,2&1,0,0,0,2,2,0,2,2,19,19
MP24,2,UTH,2,2,2&1,1,1,1,3,4,2,6,8,11,11
MP24,2,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,8,8
MP24,2,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,5,3
MP24,2,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,3,3
MP24,2,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,5,4
MP24,2,UTH,7,3,2&2,1,1,2,3,5,6,12,18,7,7
MP24,2,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,7,7
MP24,2,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,5,5
MP24,2,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,6,6
MP24,2,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,5,5
MP24,2,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,2,1
MP24,2,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,3,3
MP24,2,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1,0
MP25,1,UTH,1,1,2&1,0,0,0,2,2,0,2,2,18,18
MP25,1,UTH,2,2,2&1,1,1,1,3,4,2,6,8,11,9
MP25,1,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,4,4
MP25,1,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,6,6
MP25,1,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,1,1
MP25,1,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,4,4
MP25,1,UTH,7,3,2&2,1,1,2,3,5,6,12,18,2,2
MP25,1,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,2,2
MP25,1,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,2,1
MP25,1,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,3,3
MP25,1,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,3,3
MP25,1,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,1,1
MP25,1,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,1,0
MP25,1,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,0,0
MP26,1,UTH,1,1,2&1,0,0,0,2,2,0,2,2,9,9
MP26,1,UTH,2,2,2&1,1,1,1,3,4,2,6,8,4,3
MP26,1,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,4,4
MP26,1,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,4,3
MP26,1,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,3,3
MP26,1,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,4,4
MP26,1,UTH,7,3,2&2,1,1,2,3,5,6,12,18,3,3
MP26,1,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,2,1
MP26,1,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,2,2
MP26,1,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,2,1
MP26,1,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,2,1
MP26,1,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,1,1
MP26,1,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,2,1
MP26,1,UTH,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,1,0
MP3,1,UTH,1,1,2&1,0,0,0,2,2,0,2,2,22,22
MP3,1,UTH,2,2,2&1,1,1,1,3,4,2,6,8,10,10
MP3,1,UTH,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,8,7
MP3,1,UTH,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,8,7
MP3,1,UTH,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,4,3
MP3,1,UTH,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,7,6
MP3,1,UTH,7,3,2&2,1,1,2,3,5,6,12,18,3,3
MP3,1,UTH,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,4,3
MP3,1,UTH,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,3,3
MP3,1,UTH,10,3,2&2,2,2,1.67,5,6.67,8,15,23,5,5
MP3,1,UTH,11,3,2*1,1,1,2.67,5,7.67,8,15,23,7,7
MP3,1,UTH,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,3,2
MP3,1,UTH,13,5,3&3,3,3,2.4,4,6.4,12,20,32,2,2
